#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Sep 07 12:00:11 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       maincodev6_map.ncd
#OUTPUT FILE:      maincodev6_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,M1p3,IOB,IO_L01P_7/VRN_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P2,M1n3,IOB,IO_L01N_7/VRP_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P3,,,VCCO_7,,,3,,,,,2.50,,,,
P4,M2p3,IOB,IO/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P5,M2n3,IOB,IO_L20P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P6,M3p3,IOB,IO_L20N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P7,M3n3,IOB,IO_L21P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P8,HALL33,IOB,IO_L21N_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
P9,,,GND,,,,,,,,,,,,
P10,HALL13,IOB,IO_L22P_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
P11,HALL23,IOB,IO_L22N_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
P12,,DIFFM,IO_L23P_7,UNUSED,,7,,,,,,,,,
P13,,DIFFS,IO_L23N_7,UNUSED,,7,,,,,,,,,
P14,,DIFFM,IO_L24P_7,UNUSED,,7,,,,,,,,,
P15,,DIFFS,IO_L24N_7,UNUSED,,7,,,,,,,,,
P16,,,GND,,,,,,,,,,,,
P17,,DIFFM,IO_L40P_7,UNUSED,,7,,,,,,,,,
P18,,DIFFS,IO_L40N_7/VREF_7,UNUSED,,7,,,,,,,,,
P19,,,VCCO_7,,,3,,,,,2.50,,,,
P20,,DIFFM,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,,,,
P21,,DIFFS,IO_L40N_6,UNUSED,,6,,,,,,,,,
P22,,,GND,,,,,,,,,,,,
P23,M1p4,IOB,IO_L24P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P24,M1n4,IOB,IO_L24N_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
